Galaxy,log(M_BH/M_Sun),log(M_S/M_Sun),log(M_sph/M_Sun),log(M_DM/M_Sun),log(B/T),log(sigma0),log(Rho_soi)
g1.05e11,5.478120068774673,8.782641618374976,8.413735625326067,11.038573330271577,-0.3689059930489077,1.459771745440781,0.19213592280640415
g1.50e10,3.878801687671134,6.56504089536319,6.54826853365397,10.150611596574265,-0.016772361709220182,0.9928837632242548,-0.4734064938640822
g1.89e10,3.8347362435080825,7.080093322826538,7.009946898627039,10.283549888085004,-0.07014642419949836,1.0797002772786233,-0.6911049661358707
g2.37e10,3.9343059708019177,6.864076029127167,6.864076029127167,10.224048022183336,0.0,1.0607017783166885,-0.5535382409181662
g2.64e10,4.2794059051422835,7.523188219189326,7.064287282396854,10.479026498005501,-0.4589009367924725,1.1753668053764386,-0.4377683606973002
g3.44e10,4.769620030936081,7.702845579034014,7.539519378658094,10.693709990768744,-0.16332620037591994,1.2362513349321835,-0.0693232940149926
g4.36e09,3.194280772573825,4.910496712054504,4.63379160420191,10.00629786952257,-0.2767051078525939,0.767461673000808,-0.7070832285144979
g5.05e10,4.566358041120621,8.027838968591432,7.9446208246239385,10.625833271607531,-0.08321814396749445,1.2311616312348648,-0.2624058764358154
g5.59e09,3.75535183408031,6.188452375330075,6.188452375330075,9.816358284318857,0.0,0.9359562757587545,-0.48300137252390585
g7.05e09,3.9668997454677726,6.2694876950461085,6.2694876950461085,10.017694649196997,0.0,0.9736504710804644,-0.3468418517798629
g8.26e11,7.802034166484535,10.427414325366929,9.869920069821022,11.935369216176626,-0.5574942555459068,1.7683480254582011,1.8988974604814268
g1.08e11,5.294807441521638,8.996002968178793,8.611040136764743,11.048709943850273,-0.38496283141405085,1.4422955760846379,0.04377563426565619
g1.52e11,5.217513284598401,8.988661777192998,8.214902233066535,11.154858070120811,-0.7737595441264643,1.408833779406484,0.03340507069872618
g1.92e10,4.061968204931947,6.7232906145428215,6.707597454737776,10.302015627939372,-0.015693159805045386,0.9958029195352707,-0.29607828922530116
g2.39e10,3.8678169018467554,6.7284109653499415,6.7284109653499415,10.153210997467214,0.0,1.0261629998961799,-0.5509497530323109
g2.79e12,8.394386971230636,10.95094678204872,10.494516158263751,12.460245770786912,-0.4564306237849671,1.8411729604257059,2.345600395292517
g3.49e11,5.821435436770651,9.594236037028963,9.089072583889157,11.586547771307737,-0.5051634531398047,1.5721748197367889,0.31064514221036665
g4.48e10,4.730142169629611,8.158835645585661,7.913111681296341,10.758826629930963,-0.2457239642893211,1.2617824559123207,-0.15986339728173785
g5.22e09,3.6283485245988407,5.0936544733352624,5.0936544733352624,9.796756320648683,0.0,0.8111181463512582,-0.36032842319038233
g5.84e09,3.4037592256988494,4.2975669973016,4.2975669973016,9.766698774266883,0.0,0.6075894221294781,-0.1778602736468137
g7.08e11,7.557857609563859,10.08650980976527,9.38902426563011,11.802881100124234,-0.6974855441351592,1.6883200849377393,1.8147767846016738
g8.28e11,7.622906819064513,10.03931530981776,9.103097038620497,11.986754562820828,-0.9362182711972613,1.6681895286995507,1.9200871065787044
g1.12e12,7.776684775830558,10.432936688467848,10.410666695662297,11.952313557408555,-0.022269992805550753,1.839109912310777,1.7320242961222978
g1.57e10,3.967942094382374,6.896338941735364,6.892662353677909,10.10992806220313,-0.003676588057455507,1.0522499014173137,-0.5029983635389601
g1.92e12,8.245355768645648,10.666634120000632,10.347940685811798,12.254616293878964,-0.3186934341888347,1.908919623089531,2.0610758673798797
g2.39e11,5.737490913404032,9.759494551069732,9.664256159835299,11.383975006850187,-0.09523839123443419,1.687329473602244,-0.003608688887162587
g2.80e10,4.462131541989397,7.5117325992399095,7.434761281448118,10.426756745085054,-0.07697131779179181,1.1851150964402868,-0.27453930597788395
g3.55e11,6.0369593432894195,9.53941248857039,9.044982752266554,11.562570710925586,-0.49442973630383613,1.646204517617098,0.37810965296851684
g4.86e10,4.613809323001418,8.044550326437871,7.540912263826275,10.689773143542542,-0.503638062611596,1.293568646466931,-0.33976862501915034
g5.31e11,7.1990650100554205,10.170909568906856,10.083722672248635,11.67344301806967,-0.0871868966582194,1.6738188591044039,1.4849866367599056
g6.12e10,4.53324016230126,8.004002100220868,7.897021563752338,10.658633555144885,-0.10698053646852998,1.279293550052769,-0.39178759289098497
g7.12e10,4.87930082151635,8.807753865473533,8.683318120143396,11.437795076944457,-0.12443574533013765,1.4845074924596926,-0.4561548184897421
g8.89e10,5.297091675067129,8.63412356291919,8.292850457871259,10.960439279339823,-0.3412731050479311,1.3260485109436806,0.2785539980930621
g1.18e10,3.930207678965555,6.4730573646748075,6.4730573646748075,10.033383884494524,0.0,0.9631822740356825,-0.3625975241925164
g1.57e11,5.528913503241146,9.040072407284995,8.565500219736595,11.158983320226891,-0.47457218754840075,1.4441122961423607,0.27424825586971735
g1.95e10,3.9091493659049275,6.462517746349708,6.406466604326286,10.123285584447725,-0.05605114202342271,0.9449462977598871,-0.34718388470155337
g2.41e11,5.939344905742297,9.564525092718348,9.245383602772973,11.37568356588131,-0.3191414899453751,1.5950320362163852,0.3828401782228206
g2.83e10,4.533566086233819,7.496328440632592,7.188720415819036,10.389859109592768,-0.3076080248135562,1.234830747534797,-0.3025360639224825
g3.59e11,5.819747390862534,9.6142754318828,9.23891364337507,11.461064924280649,-0.37536178850772906,1.6193035435383984,0.2146996486990301
g4.90e11,5.149139030478375,9.575774995514681,9.156428153643597,11.46553250973041,-0.4193468418710851,1.5475120707187406,-0.3123257660458128
g5.36e11,6.419682735030891,9.984064424012887,9.642117240575404,11.79200584747148,-0.3419471834374841,1.7375123018561762,0.578217476231832
g6.37e10,4.914603355319394,8.270375832201571,7.866013047594235,11.026138760973664,-0.40436278460733593,1.2467002040511659,0.05476229213035568
g7.34e09,3.671734011297908,4.831194371057876,4.831194371057876,9.770580097319183,0.0,0.7261058449378434,-0.14691833366448526
g9.26e09,3.363801563491194,4.775719439951532,4.752315280093246,9.788427456224866,-0.02340415985828664,0.8889553205513634,-0.780549732698239
g1.23e10,3.8887806320197456,6.067286841084769,6.046605141267897,9.956285583733269,-0.020681699816871374,0.9365982675523065,-0.3508565581715739
g1.59e11,5.19601387179929,8.826755021694222,8.30213499352251,11.175378864845246,-0.5246200281717119,1.3913171779301736,0.0469388608522369
g2.04e11,5.719777791773295,9.706349180526061,9.58209280251051,11.292513968054344,-0.12425637801555096,1.6413775661909988,0.07058200430459056
g2.42e11,5.556420224079212,9.747927780478134,9.272327166829,11.398513686734503,-0.4756006136491342,1.6348101439180345,-0.07964071884356343
g3.06e11,5.7045169986837125,9.783404858266945,9.43558377772089,11.447576078667298,-0.34782108054605504,1.6661193106480987,0.005837722300808275
g3.61e11,7.147112564530943,10.225349531696207,10.225349531696207,11.584048964431638,0.0,1.8301853250628164,1.1203012593186035
g4.94e10,4.332808677722566,8.030042718747554,7.833591373649626,10.704513769073927,-0.19645134509792864,1.2791810985924665,-0.5919941745490735
g5.38e11,6.662842136793197,10.367765930643369,9.77990335314578,11.767533130495817,-0.587862577497589,1.7493483779618304,0.7977047257828289
g6.77e10,4.373513519720137,8.587929423685104,8.37004422859829,10.92608016631769,-0.21788519508681212,1.3641128091538475,-0.7211527536742646
g7.44e11,7.594913565252463,10.067149797593645,7.189885273231886,11.987939186065976,-2.877264524361759,,
g9.59e10,5.367825176656071,8.41339808770061,7.95219367942895,10.895344586766434,-0.4612044082716601,1.236864519366552,0.5276554828362598
g1.37e11,5.4612402850292225,9.321895490371025,9.167991695786517,11.150336941964941,-0.15390379458450873,1.5507526564136551,-0.006705682884794201
g1.64e11,5.605765587586964,8.867885785505976,8.216018458764724,11.23408613009901,-0.6518673267412533,1.6416741743260237,-0.04402341615178982
g2.09e10,3.913379303514609,7.0029569182044655,6.86761277228781,10.191282212429252,-0.1353441459166559,1.0086794595795894,-0.47042027073127646
g2.54e11,5.60964288621556,9.508747241913733,9.238846426374966,11.394612234744951,-0.26990081553876666,1.612473781955669,0.018254667217514856
g3.19e10,4.40264082595473,7.59590118252181,7.3799683229847055,10.499915531233626,-0.21593285953710425,1.2127854340402748,-0.3893706972125262
g3.67e10,4.520614430819261,7.746511781690893,7.713265839628749,10.4958417198806,-0.03324594206214488,1.2105290550279495,-0.26688433432334385
g4.99e09,3.6372139581952023,5.574237763277084,5.53662141205444,9.756862564968104,-0.03761635122264446,0.8314258088146858,-0.3920783145208758
g5.41e09,3.6332323799161736,6.022467299283737,6.022467299283737,9.70286338558205,0.0,0.9342092098042492,-0.6016266947790313
g6.91e10,4.4831523678298755,8.407293527838599,8.321773220441994,10.831794037031887,-0.08552030739660585,1.3479961190631957,-0.5792805253832225
g7.55e11,7.41103896103085,10.320183584823756,9.812601819112555,11.874755486673058,-0.5075817657112014,1.669358362975827,1.7058815799924898
g1.44e10,3.9209490135390506,6.849548060819865,6.746866965823785,10.18643515834597,-0.10268109499608039,1.0266029693917311,-0.4986975803311183
g1.77e12,8.204454745002284,10.672224512489812,9.44191826231828,12.264826926449711,-1.230306250171533,1.811407156029252,2.215199777857073
g2.19e11,5.231228992088495,9.050993007323314,8.884425830234449,11.083670013700882,-0.16656717708886562,1.4477517428606173,-0.030715148719446764
g2.57e11,6.39562496753889,9.947533903771966,9.60093468401566,11.420586503646176,-0.3465992197563058,1.6930255308346163,0.6431332507829502
g3.21e11,5.840720591629378,9.669297346221477,9.470922099226582,11.463802308933706,-0.1983752469948956,1.6124985018240914,0.2492829328944884
g3.71e11,6.907262728848356,9.998662908226706,9.578545254392287,11.561983365728658,-0.42011765383441946,1.639906704278529,1.2610086652045918
g4.99e10,4.497689402971979,8.088215210640262,7.830913755536576,10.66560608723869,-0.25730145510368574,1.291101056071352,-0.4509533642574326
g5.46e11,5.7868795232780625,9.567275160318568,9.064636014701254,11.471654201365743,-0.5026391456173132,1.564491420677094,0.291456026837168
g6.96e10,4.8163978435271,8.511078017722376,8.372137267787984,10.925606754518993,-0.13894074993439068,1.3972777243621013,-0.3445982602838094
g8.06e11,7.6339835916820435,10.206329015237507,9.671560388960263,11.911072689331862,-0.5347686262772462,1.8226537746683495,1.622235387258638
g1.47e10,3.9002530564559375,6.960846482252173,6.918829025596997,10.182282386887964,-0.04201745665517591,0.9846552111155771,-0.4354980208619235
g1.88e10,3.9428119087721933,7.170099054708071,6.987870020905333,10.266633385647918,-0.1822290338027388,1.1376624341727202,-0.6989536146599535
g2.34e10,3.8369560466381585,7.078838587618465,7.054718456447654,10.378019676961324,-0.024120131170811226,1.032650636365863,-0.5947858811802741
g2.63e10,4.608136153045073,7.657563609921912,7.629584685535611,10.430846011743215,-0.027978924386300223,1.200423037893491,-0.15915057782861597
g3.23e11,5.285423928881174,8.5661147879364,8.097804826675464,10.901581156629197,-0.4683099612609364,1.2444814407942493,0.43002039220596916
g3.93e10,4.285164693747239,7.538356867913597,7.434374895208814,10.459165819396882,-0.10398197270478367,1.1269875824733993,-0.3352511262862665
g5.02e11,6.488150332518122,10.164318051281509,9.71396645878399,11.702585323227202,-0.45035159249751816,1.671580586703909,0.778548504023597
g5.55e11,6.663058964557388,10.18945436177463,9.937989547225968,11.70743902786635,-0.25146481454866204,1.7716902857597772,0.753237737951127
g6.96e11,7.611720079171509,10.120418381701821,9.218426585979872,11.836784813260996,-0.9019917957219494,1.6027992973508536,2.0396808293830953
g8.13e11,7.7731540728946795,10.252751087554092,10.134762144130619,11.917475462376256,-0.11798894342347174,1.7931432780374272,1.8204268617331183
g1.25e13,9.376993682155378,11.42341501449383,11.13247621578036,13.224835935632724,-0.2909387987134716,2.1027510253352215,2.805050976398229
g1.44e13,8.943122895258442,11.873975375310883,11.444133331779254,13.08191056295719,-0.42984204353162925,2.5073711962371537,1.5619398476974276
g1.62e12,7.612933971036838,10.324635260358287,9.537761211076603,11.966049860295989,-0.7868740492816837,1.566339014038082,2.113815287873968
g2.07e13,9.455251153987865,11.71018677372451,11.076905389179498,13.314642246776945,-0.633281384545013,2.0318638874743815,3.0250827239523947
g2.37e12,8.295789151032968,10.74520831981608,10.656064875642258,12.280254575371497,-0.08914344417382132,1.9100363387145778,2.109275818517105
g3.26e13,9.608917057944945,11.75084793959522,10.88675781305484,13.46163107886239,-0.8640901265403793,1.9369418086052188,3.3685927856478015
g3.89e13,9.703065661606011,11.944906627831214,11.460756637997077,13.497410153574684,-0.4841499898341366,2.229002702630002,2.8786196012593015
g4.84e12,8.65594919176597,10.968480116687006,10.626928883986189,12.566381454128841,-0.34155123270081866,1.8647989146473827,2.5599107073844976
g6.53e12,8.727618840056099,11.126042935601328,11.075018460328273,12.580525210928155,-0.051024475273053364,2.058491773801122,2.2441946373671477
g7.50e12,9.323788591311287,11.119711908184584,10.896496074720275,12.727351937625393,-0.22321583346430768,2.0796734443382507,2.798001047548079
g8.08e12,9.001677774944351,11.262214475745388,11.262214475745388,12.8265159261794,0.0,2.0913485712805375,2.452539977296569
g1.05e13,9.182962282748392,11.390615917379973,11.03389975934931,12.898228222846681,-0.3567161580306629,2.0658991641095668,2.684723299442551
g1.26e12,7.551987066899925,10.481453717492366,10.323704521985345,11.989947988137489,-0.15774919550701944,1.721685352113095,1.7421757075870279
g1.54e13,9.170278590777299,11.401614210185814,11.11069393337208,12.997999269962655,-0.29092027681373367,2.044527410855882,2.7147831139788283
g1.63e13,9.255027222856647,11.536678415183149,11.215957590847964,13.118482388312108,-0.32072082433518495,2.1714244930617292,2.545737581646482
g2.37e13,9.586224903341396,11.714388899244309,11.205560030593665,13.31465471650782,-0.508828868650644,2.0611623713063065,3.097459505642077
g3.42e12,8.115757722154964,10.919719474838761,10.919719474838761,12.267929650417367,0.0,1.9504896095072861,1.8483378480536847
g4.41e12,8.876858611885325,11.012823482528262,10.896670018315673,12.538037986671789,-0.11615346421259026,1.8939351079566311,2.7225477408853567
g5.22e12,8.620910918324395,10.97824186951885,10.462328934170628,12.634988568716267,-0.5159129353482215,1.8065635742955046,2.641343114646679
g6.57e12,8.75861948892253,11.185010736182461,10.981068202434791,12.691889380960326,-0.20394253374766946,2.0187236125808794,2.354731608674065
g7.55e12,8.801779186467819,11.119762345886663,10.731123297284068,12.775937233118702,-0.3886390486025958,1.929890531345686,2.5755574686897402
g8.45e12,8.799099280360286,11.188768013700834,11.10238730809813,12.7051820365457,-0.08638070560270375,2.0539450449322394,2.3247685354091
g1.14e13,9.155394261780707,11.426730599931167,11.195459448491063,12.949531026087763,-0.23127115144010416,2.15605791509304,2.47683777650792
g1.27e12,7.842678660525788,10.583763033045434,10.479579351762645,11.913214624594046,-0.10418368128278935,1.8446649215354867,1.7869081623681082
g1.55e12,7.88210201390887,10.633667629350995,10.567653682539692,12.01805245533767,-0.06601394681130317,1.9334072094004273,1.6488469400213086
g1.87e13,9.29671320429216,11.505365537174749,11.111716695038462,13.18125819287642,-0.39364884213628804,2.08754508167465,2.7551823858561533
g2.11e13,9.472344008826667,11.682421142713709,11.291410520094942,13.236399132174277,-0.3910106226187669,2.1353635013191314,2.835176351101697
g2.58e13,9.5254657242626,11.830419736982694,11.419423457537205,13.390257593542731,-0.41099627944549,2.1952480177471023,2.768529033681689
g3.74e12,8.468108314201837,10.87519549456724,10.602669895904297,12.473623216387509,-0.2725255986629429,1.963225645787102,2.175216367540926
g4.55e12,8.753188637796818,10.916829485235889,10.701489698560877,12.57191268138165,-0.21533978667501155,1.932540582711402,2.521666817287308
g5.41e12,9.135322982432518,11.247877159483233,11.140556061586159,12.602915890620926,-0.10732109789707464,2.1152420211918703,2.53839828496207
g6.70e12,8.83802549482251,11.543713237529577,11.090427849144985,12.77452939858461,-0.45328538838459076,2.2750375996382406,1.921509640459321
g7.71e12,8.939471570826267,11.194364541534462,10.916998700160894,12.757929379155746,-0.27736584137356723,1.9645224121716152,2.64398609139633
g8.94e12,8.974815377518256,11.207773736784288,11.004353253343758,13.036101362311038,-0.20342048344052965,2.0513817620014554,2.5056111984286398
g1.17e13,9.008761371435492,11.594244735786468,11.228215024326827,13.08834992040287,-0.3660297114596399,2.1167238788053044,2.4088729587381756
g1.33e13,9.240892760136456,11.590526110393865,11.421356472887227,13.047561916095399,-0.16916963750663733,2.228254698791129,2.417942707467491
g1.57e13,9.142127629000719,11.44157983535049,10.92847917703659,13.119295143264292,-0.5131006583139013,1.9687549775412467,2.838177018831518
g2.02e13,9.588768847615851,11.627675828432958,11.42317560233516,13.162954548101352,-0.2045002260977982,2.2246667752987332,2.7729946419316787
g2.20e13,9.463896413912307,11.464126530265611,11.130920646118494,13.067398138989024,-0.33320588414711766,2.215463824761782,2.6665281093020368
g2.71e12,8.19481427855326,10.578333148671412,10.46501233086943,12.316799665349308,-0.11332081780198092,1.8725237507009707,2.0833261220646113
g3.78e13,9.46841669708444,11.732238363967857,11.14642619078184,13.345345146550844,-0.5858121731860166,2.07561782907391,2.9507403838499133
g4.81e12,8.709593021276536,11.024953021658144,10.89875087047295,12.626221380780523,-0.12620215118519432,1.9974924208251492,2.3481675245395306
g5.53e12,8.73588777035879,10.96327311457667,10.888525203479432,12.626057187337743,-0.07474791109723987,2.03898977410436,2.291467567063363
g6.86e12,8.904601512927957,11.184510269911996,10.7870068839641,12.7732137643619,-0.39750338594789686,1.9653922109943913,2.6073764358524683
g7.92e12,9.056659270193505,11.565457188540803,11.541234128303525,12.788915685334114,-0.024223060237276686,2.2616394142656993,2.1669397865753988
g9.61e12,9.02505527299518,11.228289565462894,11.096679263275131,12.882549280040895,-0.1316103021877624,1.99491390644666,2.6687868050151544
